2023-06-21 18:36:11 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 1748
2023-06-21 18:36:11 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-06-21 18:36:11 0 [Note] InnoDB: Uses event mutexes
2023-06-21 18:36:11 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-06-21 18:36:11 0 [Note] InnoDB: Number of pools: 1
2023-06-21 18:36:11 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=225, page number=565] with future log sequence number 59913324
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=273] with future log sequence number 61176538
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=370] with future log sequence number 61176538
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=272] with future log sequence number 61176061
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=450] with future log sequence number 61176061
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=271] with future log sequence number 61175792
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=383] with future log sequence number 61175792
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=270] with future log sequence number 61175364
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=475] with future log sequence number 61175364
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=269] with future log sequence number 61174562
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=15] with future log sequence number 61174642
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=493] with future log sequence number 61174562
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=268] with future log sequence number 61173183
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=380] with future log sequence number 61173183
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=267] with future log sequence number 61172693
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=246, page number=3] with future log sequence number 61172716
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=348] with future log sequence number 61172693
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=266] with future log sequence number 61172183
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=391] with future log sequence number 61172183
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=265] with future log sequence number 61167369
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=412] with future log sequence number 61167369
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=264] with future log sequence number 61166894
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=400] with future log sequence number 61166894
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=263] with future log sequence number 61166549
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=280] with future log sequence number 61187602
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=349] with future log sequence number 61187602
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=279] with future log sequence number 61187479
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=506] with future log sequence number 61187479
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=278] with future log sequence number 61187372
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=301] with future log sequence number 61187372
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=277] with future log sequence number 61187328
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=460] with future log sequence number 61187328
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=275] with future log sequence number 61187284
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=372] with future log sequence number 61187284
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=274] with future log sequence number 61187240
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=459] with future log sequence number 61187240
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=273] with future log sequence number 61187196
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=370] with future log sequence number 61187196
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=272] with future log sequence number 61187152
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=450] with future log sequence number 61187152
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=237] with future log sequence number 61343128
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=454] with future log sequence number 61343128
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=408] with future log sequence number 61443397
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=295] with future log sequence number 61443290
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=345] with future log sequence number 61443290
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=294] with future log sequence number 61442751
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=11] with future log sequence number 61443712
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=422] with future log sequence number 61442751
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=293] with future log sequence number 61439581
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=445] with future log sequence number 61439581
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=292] with future log sequence number 61443485
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=464] with future log sequence number 61443485
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=290] with future log sequence number 61443441
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=196] with future log sequence number 61510182
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=225, page number=5] with future log sequence number 61510210
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=225, page number=4] with future log sequence number 61510196
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=225, page number=527] with future log sequence number 61510233
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=317] with future log sequence number 61510182
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=195] with future log sequence number 61509885
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=420] with future log sequence number 61509885
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=194] with future log sequence number 61503812
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=419] with future log sequence number 61503812
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=193] with future log sequence number 61497545
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=11] with future log sequence number 61497740
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=466] with future log sequence number 61497545
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=192] with future log sequence number 61494345
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 61497565
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=316] with future log sequence number 61494345
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=63] with future log sequence number 61493867
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=465] with future log sequence number 61493867
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=61] with future log sequence number 61493621
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=230, page number=4] with future log sequence number 61497577
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=230, page number=3] with future log sequence number 61497600
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=314] with future log sequence number 61493621
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=60] with future log sequence number 61493298
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=485] with future log sequence number 61493298
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=59] with future log sequence number 61487189
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=225, page number=515] with future log sequence number 61509907
2023-06-21 18:36:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=507] with future log sequence number 61487189
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=7] log sequence number 61097682 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=2] log sequence number 60298028 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=4] log sequence number 59929804 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=11] log sequence number 160824457 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=320] log sequence number 76990869 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=6] log sequence number 61461694 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=415] log sequence number 61461694 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=45] log sequence number 61461733 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=309] log sequence number 61461733 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=46] log sequence number 61461772 is in the future! Current system log sequence number 300306.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2023-06-21 18:36:12 0 [ERROR] InnoDB: Page [page id: space=0, page number=448] log sequence number 61461772 is in the future! Current system log sequence number 300306.
